filename,text,labels
,"Google faces another trademark suit in Germany A German court is set to hear oral arguments in a trademark suit against Google Inc. next week, as the search giant faces yet another legal challenge to its AdWords keyword advertising program.&lt;p&gt;ADVERTISEMENT&lt;/p&gt;&lt;p&gt;&lt;img src=""http://ad.doubleclick.net/ad/idg.us.ifw.general/ibmpseries;sz=1x1;ord=200301151450?"" width=""1"" height=""1"" border=""0""/&gt;&lt;a href=""http://ad.doubleclick.net/clk;9824455;9690404;u?http://ad.doubleclick.net/clk;9473681;9688522;d?http://www.ibm.com/servers/eserver/pseries/campaigns/boardroom/index.html?ca=pSeries met=boardroom me=E P_Creative=P_InfoW_RSS""&gt;Introducing IBM eServer p5 systems.&lt;/a&gt;&lt;br/&gt;Powered by IBMs most advanced 64-bit microprocessor (POWER5(tm)), p5 systems can run UNIX and Linux simultaneously. Learn more about eServer p5 systems.&lt;/p&gt;",
,"Leisure  amp; Arts One thing that the Olympics have always provided is that hardy perennial known as the  quot;feel-good story. quot; The sort of story in which, against all odds--and with undeniable drama--the farm boy from Iowa who grew up with rickets in one leg ...",
,"Typhoon Hits Korea, Japan; Kills 9, Grounds Flights (Update1) Aug. 19 (Bloomberg) -- Typhoon Megi churned through the Tsushima Straight dividing Japan and South Korea, leaving nine people dead and thousands homeless as it damaged crops, dumped heavy rains and grounded flights.",
,"Australian Wheat Farmers Brace for Huge Locust Plague (Reuters) Reuters - Australia's wheat farmers, fresh from\battling the country's worst drought in a century, are now\threatened by a plague of locusts which have already begun to\hatch from a sprawling ""nursery"" in the country's outback.",
,"Locusts ravage northern Nigeria The locusts swarming across West Africa reach  northern Nigeria, devastating fields of crops.",
,"Bird flu outbreak in Malaysia Kuala Lumpur, Malaysia, Aug. 19 (UPI) -- Malaysian agriculture officials confirmed Thursday bird flu has been detected in two chickens in the northern state of Kelantan.",
,"Groups Weigh in on Revisions to Food Pyramid By IRA DREYFUSS     WASHINGTON (AP) -- Keep the food pyramid but make it more understandable, food industry and consumer group officials told a panel of Agriculture Department officials on Thursday.    The department is revising its nutrition graphic to reflect new eating guidelines that are due out early next year by a dietary guidance advisory committee...",
,"WHO and FAO kept in dark on bird flu virus found in pigs in China (AFP) AFP - UN health and agriculture officials in China said they were not informed by the government of the deadly H5N1 bird flu virus being found in pigs, the first such discovery in the world.",
,"AMD To Add  #39;Strained Silicon #39; To Processors Advanced Micro Devices will add  quot;strained silicon quot; to its microprocessor lineup this quarter, a company spokesman confirmed Friday, an esoteric technique used to improve performance.",
,"Learning to write with classroom blogs Last spring Marisa Dudiak took her second-grade class in Frederick County, Maryland, on a field trip to an American Indian farm.",
,"Meth Cooks May Be Caught Pink-Handed (AP) AP - It may fall a shade shy of catching thieves red-handed, but for farmers fed up with methamphetamine cooks filching their fertilizer, staining them pink will do just fine.",
,"Malaysia Teenager in Hospital for Bird Flu Checks A teenager from the village at the center of a bird flu outbreak has been hospitalized with cold symptoms, Malaysia #39;s health minister said on Friday, as poultry farmers counted their losses.",
,"Arkansas Farm Produces Most U.S. Goldfish (AP) AP - There is a good chance that the colorful carp you won at the county fair or picked up at the local pet shop came from Pool Fisheries, which sits in the middle of an Arkansas field in Lonoke County, the self-proclaimed baitfish capital of the world where more than 6 billion minnows and goldfish are bred each year.",
,"Fertilizer thieves targeted with stain Farmers fed up with methamphetamine cooks stealing their fertilizer may soon catch them pink handed, thanks to a new dye developed by a Southern Illinois farmer.",
,"Catching Meth Cooks Pink-Handed WICHITA, Kan. -- It may fall a shade shy of catching thieves redhanded, but for farmers fed up with methamphetamine cooks filching their fertilizer, staining them pink will do just fine.",
,Arm Holdings buys US tech firm Microprocessor designer Arm Holdings buys US tech firm Artisan for about \$913m.,
,"China confirms bird flu found in pigs last year (AFP) AFP - China's Ministry of Agriculture confirmed that a deadly strain of bird flu was found in pigs last year, the Xinhua news agency reported.",
,"Catching Meth Cooks Pink-Handed Midwestern farmers welcome a new fertilizer additive that leaves a telltale fluorescent pink stain on the hands of anyone who touches it. Theft of anhydrous ammonia fertilizer, used to make methamphetamine, has become a major problem for farmers.",
,Sudan denies need for AU peacekeepers in Darfur Agriculture Minister insists Sudan can handle security situation in Darfur without need for AU peacekeepers. ABUJA - The head of Sudan #39;s delegation to African Union-sponsored talks on the conflict in the western,
,A Primer on Stagflation What happened to the economic recovery? The economy is supposed to be creating more jobs than are being revealed in the monthly non-farm payroll reports.,
,"ARM Grasps Artisan for Embedded Chips p gt;Semiconductor design firm ARM (Quote, Chart) is took a major leap into the embedded microprocessor space by acquiring Artisan Components (Quote, Chart), producer of embedded memory, standard cell, input/output, analog and mixed-signal components.",
,"Paul Hamm Waits Out Boos, Then Wins Silver ATHENS, Greece (AP) -- For 10 minutes, the crowd booed and whistled, creating a deafening roar. Paul Hamm sat around and waited to start his routine. A week's worth of controversy in gymnastics boiled over into the stands Monday during a bizarre, extraordinary evening. Hamm was able to block out the noise and win a silver medal on high bar, and four-time Olympic gold medalist Alexei Nemov finished fifth, much to the chagrin of the crowd.",
,"Govt committed to 7-8 pct GDP growth - PM (Reuters) Reuters - The government is committed to economic growth of 7-8 percent each year over the next decade on the back higher industrial and agricultural growth, Prime Minister Manmohan Singh said on Tuesday.",
,"Webcam worm spies on victims The latest version of the Rbot worm contains features that allow malicious hackers to easily turn on the webcam and microphone of infected Windows computers, effectively allowing them to spy on their victims, according to an anti-virus firm.",
,Bird flu spreads to pigs 24/08/2004 - Authorities in China are trying to calm fears over the spread of the deadly avian influenza strain H5N1 to pigs by stating that recent tests carried out on pig farms in the country have shown that the animals are now clear of the disease.,
,SpyWare That Actually Spies On You Amid groans of  quot;I wonder why it took so long? quot; a new worm has been discovered that can access a webcam and microphone attached to an infected PC.,
,"Before-the-Bell: Sanderson Farms Falls  NEW YORK (Reuters) - Shares of Sanderson Farms Inc.  &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=SAFM.O target=/stocks/quickinfo/fullquote""&gt;SAFM.O&lt;/A&gt; sunk nearly 16 percent before the bell on Tuesday,  after the chicken producer's quarterly earnings fell short of  Wall Street estimates.",
,"Sanderson Farms Profit Below Estimates  CHICAGO (Reuters) - Poultry producer Sanderson Farms Inc.  &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=SAFM.O target=/stocks/quickinfo/fullquote""&gt;SAFM.O&lt;/A&gt; said on Tuesday its quarterly earnings more than  doubled on strong consumer demand for chicken, but its profit  was sharply below analysts' estimates.",
,"Update 1: Sanderson 3Q Profit Rises, Cuts Outlook Poultry producer Sanderson Farms Inc. said Tuesday that it more than doubled its third-quarter profit on sharply higher prices for poultry products during the period, but trimmed its full-year forecast in",
,"Before-the-Bell: Sanderson Farms Falls Shares of Sanderson Farms Inc. (SAFM.O: Quote, Profile, Research) sunk nearly 16 percent before the bell on Tuesday, after the chicken producer #39;s quarterly earnings fell short of Wall Street estimates.",
,"Poultry Producer's Stock Falls 23 Percent (Reuters) Reuters - Poultry producer Sanderson Farms Inc.\(SAFM.O) said on Tuesday its quarterly profit doubled on strong\demand, but warned of lower wholesale prices and higher grain\costs, sparking a 23 percent drop in its shares.",
,"Poultry Producer's Stock Falls 23 Percent  NEW YORK (Reuters) - Poultry producer Sanderson Farms Inc.  &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=SAFM.O target=/stocks/quickinfo/fullquote""&gt;SAFM.O&lt;/A&gt; said on Tuesday its quarterly profit doubled on strong  demand, but warned of lower wholesale prices and higher grain  costs, sparking a 23 percent drop in its shares.",
,"UPDATE 3-Sanderson profit jumps, but shrs fall on costs Poultry producer Sanderson Farms Inc. (SAFM.O: Quote, Profile, Research) said on Tuesday its quarterly profit doubled on strong demand, but warned of lower wholesale",
,"Poultry Producer's Stock Falls 23 Percent  NEW YORK (Reuters) - Poultry producer Sanderson Farms Inc.  &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=SAFM.O target=/stocks/quickinfo/fullquote""&gt;SAFM.O&lt;/A&gt; on Tuesday said it is being hurt by lower wholesale  prices and higher grain costs in the current quarter, sparking  a 23 percent drop in its stock and pulling down shares of its  rivals.",
,"UPDATE 4-Sanderson warns on prices, costs, 3rd-qtr net up Poultry producer Sanderson Farms Inc. (SAFM.O: Quote, Profile, Research) on Tuesday said it is being hurt by lower wholesale prices and higher grain costs in the",
,Aussie teacher quits after web threats AN AUSSIE teacher has quit after 35 years after his students threatened him on a web page. Greg Frawley was one of about 10 teachers threatened on the page set up by students at Hurlstone Agricultural High School.,
,"Sudan accepts deployment of more AU peacekeepers: official Sudan is to accept the deployment of more African peacekeepers for the cantonment of the rebels in Darfur, Sudanese Agriculture Minister Majzoub al-Khalifa said Wednesday, as",
,"Outsourcing issue flares up at chip conference STANFORD, CALIF. -- On Monday, the same day the California Senate passed a bill that would ban state agencies from contracting services out to companies that use overseas labor, opponents and proponents of offshore outsourcing clashed during a conference at Stanford University.&lt;p&gt;ADVERTISEMENT&lt;/p&gt;&lt;p&gt;&lt;img src=""http://ad.doubleclick.net/ad/idg.us.ifw.general/ibmpseries;sz=1x1;ord=200301151450?"" width=""1"" height=""1"" border=""0""/&gt;&lt;a href=""http://ad.doubleclick.net/clk;9824455;9690404;u?http://ad.doubleclick.net/clk;9473681;9688522;d?http://www.ibm.com/servers/eserver/pseries/campaigns/boardroom/index.html?ca=pSeries met=boardroom me=E P_Creative=P_InfoW_RSS""&gt;Introducing IBM eServer p5 systems.&lt;/a&gt;&lt;br/&gt;Powered by IBMs most advanced 64-bit microprocessor (POWER5(tm)), p5 systems can run UNIX and Linux simultaneously. Learn more about eServer p5 systems.&lt;/p&gt;",
,Report: Asia faces water shortage Scientists are warning that Asian farmers are drying up the continents underground reserves by drilling millions of pump-operated wells to draw out water.,
,"Science Magazine: Asia Farmers Sucking Continent Dry Asian farmers drilling millions of pump-operated wells in an ever-deeper search for water are threatening to suck the continent #39;s underground reserves dry, a science magazine warned on Wednesday.",
,Smithfield Foods Profit More Than Doubles (Reuters) Reuters - Hog and pork producer Smithfield Foods\Inc. (SFD.N) on Thursday said quarterly earnings more than\doubled due to higher hog prices and the acquisition last year\of Farmland Foods.,
,Milk deal 'to help dairy farmers' Sainsbury's supermarket agrees a new milk supply deal with Robert Wiseman and Dairy Crest which the firms say could benefit hundreds of dairy farmers.,
,Rbot puts the eye in virus A PEEPING Tom virus that allows hackers to turn on a computer #39;s webcam and microphone and spy on users is spreading through the Internet and local computer networks.,
,"Smithfield Foods Profit More Than Doubles Hog and pork producer Smithfield Foods Inc. (SFD.N: Quote, Profile, Research) on Thursday said quarterly earnings more than doubled due to higher hog prices and the acquisition last year of Farmland Foods.",
,"Smithfield Foods Profit More Than Doubles  CHICAGO (Reuters) - Smithfield Foods Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=SFD.N target=/stocks/quickinfo/fullquote""&gt;SFD.N&lt;/A&gt; on  Thursday said quarterly earnings more than doubled due to  higher hog prices and the hog and pork producer's acquisition  of Farmland Foods last year.",
,"Smithfield Foods Profit More Than Doubles Smithfield Foods Inc. (SFD.N: Quote, Profile, Research) on Thursday said quarterly earnings more than doubled due to higher hog prices and the hog and pork producer #39;s acquisition of Farmland Foods last year.",
,"India Struggles to Revive Ailing Health Sector (Reuters) Reuters - Whenever Lalibati, a poor farmer's\wife in western India, falls sick, she heads for only one\person: the local faith healer.",
,"Smithfield Foods Profit High on the Hogs  CHICAGO (Reuters) - Smithfield Foods Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=SFD.N target=/stocks/quickinfo/fullquote""&gt;SFD.N&lt;/A&gt;, one of  the nation's largest meat producers, on Thursday said quarterly  earnings more than doubled due to higher hog prices and its  acquisition of Farmland Foods last year.",
,"U.N. Warns of Full-Scale Locust Plague in Africa (Reuters) Reuters - Locust swarms infesting Mauritania and\other African nations could develop into a full-scale plague\without additional foreign aid, the U.N. Food and Agriculture\Organization said Thursday.",
,"China Confirms Bird Flu in Pigs China has confirmed that it found a deadly strain of bird flu in pigs as early as two years ago. China #39;s Agriculture Ministry said two cases had been discovered, but it did not say exactly where the samples had been taken.",
,"Nixon is back in the swing Forget September call-ups. The Red Sox may tap their minor league system for an extra player or two when the rules allow them to expand their 25-man roster Wednesday, but any help from the farm is likely to pale against the abundance of talent they gain from the return of numerous players, including Trot Nixon , from the disabled list.",
,Agriculture Dept. Offers Grouse Funding (AP) AP - The Agriculture Department offered  #36;2 million Thursday to help private land owners in four Western states protect the habitat of the sage grouse.,
,"Scottish  amp; Southern, Talisman Plan Offshore Wind Farm (Update1) Scottish  amp; Southern Energy Plc, the UK #39;s fourth-largest energy supplier, and Canada #39;s Talisman Energy Inc. plan a wind farm 25 kilometres (16 miles) off the coast of Scotland to test deepwater windmills.",
,Quick results unlikely from mad cow meeting but Ottawa hints at &lt;b&gt;...&lt;/b&gt; OTTAWA (CP) - Manhattan and mad cow may seem an unlikely combination but Agriculture Minister Andy Mitchell will be mixing the two Saturday when he travels to New York City to meet his American counterpart to lobby for an end to the costly mad cow crisis.,
,"Activists enter Acropolis to protest Powell visit Greek activists have hoisted a massive banner on the Acropolis against the scheduled visit of US Secretary of State Colin Powell, due in Athens for the Olympics this weekend.",
,"Protest banner unfurled before Powell visit Hours before Secretary of State Colin Powell was to arrive in Athens, Greece #39;s communist party draped a large banner protesting his visit over a side of the ancient Acropolis hill near the Parthenon.",
,"Minister cautious about mad cow relief Manhattan and mad cow may seem an unlikely combination, but Agriculture Minister Andy Mitchell will be mixing the two today when he travels to New York City to meet his American counterpart to lobby for an end to the costly mad cow crisis.",
,"Agriculture Minister to lobby US on BSE Ottawa -- Agriculture Minister Andy Mitchell is meeting with his US counterpart today in New York to lobby for an end to the costly mad-cow crisis, which began 15 months ago with the discovery of single case of bovine spongiform encephalopathy on a ranch",
,"Asian farmers sucking the continent dry The world is on the verge of a water crisis as people fight over ever dwindling supplies, experts told the Stockholm Water Symposium.",
,"Illegal immigrants avoid Charley relief Angel Lopez examined a blue flier that read in English and Spanish,  quot;Disaster Assistance is Available Now, quot; but discarded it as soon as FEMA workers moved on to another house in this neighborhood of migrant farmworkers.",
,Agriculture minister argues case for opening US border to live &lt;b&gt;...&lt;/b&gt; NEW YORK (CP) - Agriculture Minister Andy Mitchell came away empty-handed Saturday after arguing the case for reopening the Canada-US border to live cattle exports in a meeting with his American counterpart.,
,"Intel Clouded by Back-To-School Fears  SAN FRANCISCO (Reuters) - Intel Corp.'s &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=INTC.O target=/stocks/quickinfo/fullquote""&gt;INTC.O&lt;/A&gt; upcoming  mid-quarter report will be closely watched for signs of weak  back-to-school computer sales, though recent market share gains  in memory chips could help offset any softness in computer  microprocessor demand.",
,"Intel Clouded by Back-To-School Fears Intel Corp. #39;s upcoming mid-quarter report will be closely watched for signs of weak back-to-school computer sales, though recent market share gains in memory chips could help offset any softness in computer microprocessor demand.",
,Farmers' Almanac Predicts a Wild Winter (AP) AP - Gas up the snowblower but don't put away your umbrella: The Farmers' Almanac is predicting a wild winter with heavy precipitation and dramatic temperature swings in the Northeast.,
,"African Union Probes Cease-Fire Violation (AP) AP - This small village of mud and straw huts lay ruined and abandoned Sunday, the ground charred, after residents said Sudanese soldiers attacked with a warplane and helicopters, driving farmers from their homes days before a U.N. deadline to end the violence in the ravaged Darfur region.",
,"Sudan cease-fire violation investigated African Union ceasefire monitors are investigating claims that the Sudanese military bombarded a village from helicopter gunships, driving terrified farmers from their homes, only days before the expiry of a UN deadline to end the violence in Darfur.",
,"Back-to-school fears cloud Intel report SAN FRANCISCO: Intel upcoming mid-quarter report will be closely watched for signs of weak back-to-school computer sales, though recent market share gains in memory chips could help offset any softness in computer microprocessor demand.",
,"California cities, counties sue Microsoft Six California counties and cities on Friday filed a class action lawsuit against Microsoft Corp. accusing the software giant of violating California law with anti-competitive business practices.&lt;p&gt;ADVERTISEMENT&lt;/p&gt;&lt;p&gt;&lt;img src=""http://ad.doubleclick.net/ad/idg.us.ifw.general/ibmpseries;sz=1x1;ord=200301151450?"" width=""1"" height=""1"" border=""0""/&gt;&lt;a href=""http://ad.doubleclick.net/clk;9824455;9690404;u?http://ad.doubleclick.net/clk;9473681;9688522;d?http://www.ibm.com/servers/eserver/pseries/campaigns/boardroom/index.html?ca=pSeries met=boardroom me=E P_Creative=P_InfoW_RSS""&gt;Introducing IBM eServer p5 systems.&lt;/a&gt;&lt;br/&gt;Powered by IBMs most advanced 64-bit microprocessor (POWER5(tm)), p5 systems can run UNIX and Linux simultaneously. Learn more about eServer p5 systems.&lt;/p&gt;",
,"Data Center Markup Language finds home in OASIS A proposed standard to enable integration, automation and better management of data center components this week will begin development under the direction of a new standards body - the Organization for the Advancement of Structured Information Standards.&lt;p&gt;ADVERTISEMENT&lt;/p&gt;&lt;p&gt;&lt;img src=""http://ad.doubleclick.net/ad/idg.us.ifw.general/ibmpseries;sz=1x1;ord=200301151450?"" width=""1"" height=""1"" border=""0""/&gt;&lt;a href=""http://ad.doubleclick.net/clk;9824455;9690404;u?http://ad.doubleclick.net/clk;9473681;9688522;d?http://www.ibm.com/servers/eserver/pseries/campaigns/boardroom/index.html?ca=pSeries met=boardroom me=E P_Creative=P_InfoW_RSS""&gt;Introducing IBM eServer p5 systems.&lt;/a&gt;&lt;br/&gt;Powered by IBMs most advanced 64-bit microprocessor (POWER5(tm)), p5 systems can run UNIX and Linux simultaneously. Learn more about eServer p5 systems.&lt;/p&gt;",
,Canada wins fight with US on wheat The World Trade Organization's top court handed Canadian wheat farmers another victory yesterday in their fight against US charges they are unfair traders.,
,"AMD demos first dual-core processor Advanced Micro Devices Inc. (AMD) has demonstrated the company #39;s first dual-core microprocessors at its Austin, Texas, office, the company said Tuesday.",
,"Locust Swarms Munch Crops Near Senegal's Capital (Reuters) Reuters - Smoke rises from burning\tires in the corners of Oumar Sakho's fields Monday as a swarm\of mating, yellow desert locusts munches through his water\melons not far from Senegal's capital.",
,"Skype dials up beta software for Mac OS X Skype Technologies SA, of Luxembourg, Tuesday released a beta version of its free Internet telephony software for Apple Computer Inc.'s Mac OS X.&lt;p&gt;ADVERTISEMENT&lt;/p&gt;&lt;p&gt;&lt;img src=""http://ad.doubleclick.net/ad/idg.us.ifw.general/ibmpseries;sz=1x1;ord=200301151450?"" width=""1"" height=""1"" border=""0""/&gt;&lt;a href=""http://ad.doubleclick.net/clk;9824455;9690404;u?http://ad.doubleclick.net/clk;9473681;9688522;d?http://www.ibm.com/servers/eserver/pseries/campaigns/boardroom/index.html?ca=pSeries met=boardroom me=E P_Creative=P_InfoW_RSS""&gt;Introducing IBM eServer p5 systems.&lt;/a&gt;&lt;br/&gt;Powered by IBMs most advanced 64-bit microprocessor (POWER5(tm)), p5 systems can run UNIX and Linux simultaneously. Learn more about eServer p5 systems.&lt;/p&gt;",
,"AMD demos first dual-core processor Advanced Micro Devices Inc. (AMD) has demonstrated the company's first dual-core microprocessors at its Austin, Texas, office, the company said Tuesday.",
,"Zimbabwe tobacco crop falls again Zimbabwe's tobacco crop, one of the country's main exportable commodities, falls for the fourth year running.",
,AMD Shows Off Dual-Core Microprocessor It said it has demonstrated a working version of the technology based on its Opteron chip. By Darrell Dunn. The shift to dual-core microprocessors continues to accelerate.,
,"Tree Farmers Are Objecting To New Rules On Forestland Changes &lt;b&gt;...&lt;/b&gt; Tree farmer Kent Hinson says he is out on a limb when it comes to his pro-environment view.  quot;Most foresters in general look at the environmentalists as an adversary, as a group",
,"In India, some farmers benefiting from a cyber-revolution BANGALORE, India -- For three generations, two families have fought over an acre of farmland in an arid stretch of southern India, each waving documents to support its claim.",
,"Vote Swaps Revamped for 2004 If you'd like to vote for a third-party candidate, but don't want to cost the Democrats or Republicans the election, take heart. Sites are cropping up to allow voters in swing states to swap votes with people in non-swing states. By Joanna Glasner.",
,"AMD's Next Rabbit Out of the Hat: Dual Core (NewsFactor) NewsFactor - Advanced Micro Devices is making a push to beat Intel in the development of dual core microprocessors based on x86 chips. \On Tuesday, AMD (NYSE: AMD) unveiled a prototype dual-core Opteron processor running in a Hewlett-Packard ProLiant server.",
,AMD demos first dual-core processor Advanced Micro Devices demonstrated its first dual-core microprocessors today using an HP ProLiant DL585 server running four dual-core Opteron chips.,
,"Chief of Advanced Micro Targets Market Share Gains Hector Ruiz, the chief executive of Advanced Micro Devices, today laid out a plan to break what he called the monopolistic grip on the microprocessor industry by Intel.",
,"Monsanto unveils VISTIVE soybeans A new, conventionally bred low-linolenic soybean that will reduce or eliminate trans fatty acids in processed soybean oil is ready to roll, Monsanto announced at a press conference this morning at the Farm Progress Show in Alleman, Iowa.",
,"Monsanto launches new  quot;heart-healthy quot; soybean seed Monsanto Company said it has begun marketing a new low-linolenic soybean crop that, once processed, will yield an enhanced oil that is low in trans fats.",
,IBM loosens its blade IBM IS to share the designs of its blade servers in a bid to boost their popularity among developers. It follows moves to open up the companys microprocessor business and give partners more access to its,
,Scientists to Study N.Y. Organic Farmers (AP) AP - Cornell researchers will watch five upstate New York dairy herds to learn about the problems and challenges of converting from conventional to organic farming.,
,"Health benefits, concern surface in study of farm-raised fish MUNICH -- The heart health benefits from fish like salmon and mackerel seem to be weakened when farm-raised fish are fed vegetable oil instead of fish oil, new research indicates.",
,"Nonfarm productivity up 2.5 vs. 2.9 initial estimate WASHINGTON (CBS.MW) - Productivity in the US nonfarm business sector increased at a 2.5 percent annual rate in the second quarter, revised lower from an earlier estimate of 2.9 percent, the Labor Department estimated Thursday.",
,"South American Soya Explosion Threatens Forests - WWF (Reuters) Reuters - An explosion of soyabean farming in\South America is threatening huge areas of forest and grassland\containing some of the world's richest and most diverse\wildlife, a leading conservation group said on Thursday.",
,Intel Cuts Revenue Outlook; Stock Falls (Reuters) Reuters - Intel Corp.  on Thursday\cut its third-quarter revenue and profit margin forecast after\demand for both its computer microprocessors and communications\chips weakened beyond expectations. Its stock fell nearly 8\percent.,
,"Intel Cuts Revenue Outlook; Stock Falls  SAN FRANCISCO (Reuters) - Intel Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=INTC.O target=/stocks/quickinfo/fullquote""&gt;INTC.O&lt;/A&gt; on Thursday  cut its third-quarter revenue and profit margin forecast after  demand for both its computer microprocessors and communications  chips weakened beyond expectations. Its stock fell nearly 8  percent.",
,"Kim states her case with 62 Christina Kim made 11 birdies and tied the tournament record of 10-under-par 62 yesterday for a two-shot lead after the opening round of the LPGA State Farm Classic in Springfield, Ill.",
,"Plus: Virtual Farm Game According to a new research study by the non-profit Pew Internet and American Life Project, so-called Instant Messaging (IM) is what #39;s really hot when it comes to electronic communication now.",
,IPO will be golden for farmers Chicken cooperative Gold Kist Inc. appears only days away from hatching into a public company -- a move intended to put more cash in the hands of farmers and increase Gold Kist #39;s own ability to raise money.,
,"Kim ties record at State Farm Classic Christina Kim made 11 birdies and tied the tournament record of 10-under-par 62 for a two-shot lead after the opening round of the LPGA State Farm Classic in Springfield, Ill.",
